α,β,S₀,lab,t,md
0.2,0.3,0.7,peak-intensity,16,2.993366
0.2,0.3,0.7,growth-rate,16,2.7121956
0.2,0.3,0.7,outbreak-size,16,2.267912
0.2,0.3,0.7,S₀,16,-0.12619244
0.2,0.3,0.7,α,16,0.48923367
0.2,0.3,0.7,β,16,0.13685574
0.2,0.3,0.7,rep-number,16,0.16886288
0.2,0.3,0.9,peak-intensity,30,3.2796419
0.2,0.3,0.9,growth-rate,30,3.975341
0.2,0.3,0.9,outbreak-size,30,0.26943806
0.2,0.3,0.9,S₀,30,-0.95506364
0.2,0.3,0.9,α,30,0.8901859
0.2,0.3,0.9,β,30,1.3360497
0.2,0.3,0.9,rep-number,30,-0.37277943
0.2,0.5,0.5,peak-intensity,27,3.6597416
0.2,0.5,0.5,growth-rate,27,3.4455893
0.2,0.5,0.5,outbreak-size,27,1.9478971
0.2,0.5,0.5,S₀,27,-0.16796634
0.2,0.5,0.5,α,27,0.95185924
0.2,0.5,0.5,β,27,0.7829539
0.2,0.5,0.5,rep-number,27,0.011210406
0.2,0.5,0.7,peak-intensity,24,3.5181594
0.2,0.5,0.7,growth-rate,24,3.714825
0.2,0.5,0.7,outbreak-size,24,1.2536954
0.2,0.5,0.7,S₀,24,-0.2399762
0.2,0.5,0.7,α,24,1.3013169
0.2,0.5,0.7,β,24,1.0781285
0.2,0.5,0.7,rep-number,24,0.118649535
0.2,0.5,0.9,peak-intensity,19,3.479347
0.2,0.5,0.9,growth-rate,19,3.6574526
0.2,0.5,0.9,outbreak-size,19,1.1526564
0.2,0.5,0.9,S₀,19,-0.29859772
0.2,0.5,0.9,α,19,1.1831206
0.2,0.5,0.9,β,19,1.1149492
0.2,0.5,0.9,rep-number,19,0.20451334
0.2,0.7,0.3,peak-intensity,7,2.138238
0.2,0.7,0.3,growth-rate,7,2.0910478
0.2,0.7,0.3,outbreak-size,7,1.8399942
0.2,0.7,0.3,S₀,7,0.13985376
0.2,0.7,0.3,α,7,0.35145238
0.2,0.7,0.3,β,7,0.13897328
0.2,0.7,0.3,rep-number,7,0.17733802
0.2,0.7,0.5,peak-intensity,21,3.5149481
0.2,0.7,0.5,growth-rate,21,3.4891586
0.2,0.7,0.5,outbreak-size,21,1.4178392
0.2,0.7,0.5,S₀,21,0.06213241
0.2,0.7,0.5,α,21,1.1421899
0.2,0.7,0.5,β,21,0.6230825
0.2,0.7,0.5,rep-number,21,0.3774696
0.2,0.7,0.7,peak-intensity,16,3.872099
0.2,0.7,0.7,growth-rate,16,3.9042227
0.2,0.7,0.7,outbreak-size,16,1.4573548
0.2,0.7,0.7,S₀,16,0.18893132
0.2,0.7,0.7,α,16,1.416625
0.2,0.7,0.7,β,16,1.1202724
0.2,0.7,0.7,rep-number,16,0.5076525
0.2,0.7,0.9,peak-intensity,13,3.8535469
0.2,0.7,0.9,growth-rate,13,3.7845676
0.2,0.7,0.9,outbreak-size,13,1.7083467
0.2,0.7,0.9,S₀,13,0.08810331
0.2,0.7,0.9,α,13,1.3191247
0.2,0.7,0.9,β,13,1.2091794
0.2,0.7,0.9,rep-number,13,0.73186606
0.2,0.9,0.3,peak-intensity,20,3.4382148
0.2,0.9,0.3,growth-rate,20,3.008379
