var,t,md
peak-timing,0,0
peak-timing,1,0.74533546
peak-timing,2,1.3922306
peak-timing,3,1.5376761
peak-timing,4,1.5371932
peak-timing,5,1.4931653
peak-timing,6,1.539194
peak-timing,7,1.732888
peak-timing,8,2.0645776
peak-timing,9,2.412449
peak-timing,10,2.6695502
peak-timing,11,2.9716907
peak-timing,12,3.18445
peak-timing,13,3.3706849
peak-timing,14,3.4509048
peak-timing,15,3.5095947
peak-timing,16,3.5365694
peak-timing,17,3.5469584
peak-timing,18,3.577341
peak-timing,19,3.6153483
peak-timing,20,3.6438503
peak-timing,21,3.6666934
peak-timing,22,3.7394183
peak-timing,23,3.782835
peak-timing,24,3.8178
peak-timing,25,3.8490238
peak-timing,26,3.8593178
peak-timing,27,3.905791
peak-timing,28,3.909878
peak-timing,29,3.9486778
peak-timing,30,3.9653056
peak-intensity,0,0
peak-intensity,1,0.77451986
peak-intensity,2,1.491863
peak-intensity,3,1.6536548
peak-intensity,4,1.7166696
peak-intensity,5,1.7738864
peak-intensity,6,1.9268265
peak-intensity,7,2.324068
peak-intensity,8,2.8095558
peak-intensity,9,3.2986498
peak-intensity,10,3.7184825
peak-intensity,11,3.9363
peak-intensity,12,4.0645533
peak-intensity,13,4.037582
peak-intensity,14,4.033464
peak-intensity,15,3.9949837
peak-intensity,16,4.0185122
peak-intensity,17,4.017596
peak-intensity,18,3.99795
peak-intensity,19,4.06025
peak-intensity,20,4.054351
peak-intensity,21,4.1165056
peak-intensity,22,4.1526723
peak-intensity,23,4.1609654
peak-intensity,24,4.2135496
peak-intensity,25,4.271082
peak-intensity,26,4.243091
peak-intensity,27,4.252044
peak-intensity,28,4.2626123
peak-intensity,29,4.2816057
peak-intensity,30,4.279578
S₀,0,0
S₀,1,0.095286645
S₀,2,0.23768622
S₀,3,0.26091397
S₀,4,0.25939882
S₀,5,0.26332396
S₀,6,0.3433464
S₀,7,0.5160185
S₀,8,0.5570256
S₀,9,0.5677191
S₀,10,0.621455
S₀,11,0.65728486
S₀,12,0.6692527
S₀,13,0.6755598
S₀,14,0.7147778
S₀,15,0.755688
S₀,16,0.8538591
S₀,17,0.96117204
S₀,18,1.0543895
S₀,19,1.1502523
S₀,20,1.251893
S₀,21,1.3625016
S₀,22,1.4713278
S₀,23,1.5227863
S₀,24,1.6308769
S₀,25,1.6919916
S₀,26,1.72893
S₀,27,1.7855662
S₀,28,1.8227302
S₀,29,1.8378199
S₀,30,1.8930358
rep-number,0,0
rep-number,1,0.5612972
rep-number,2,0.7747407
rep-number,3,0.7986281
rep-number,4,0.81138474
rep-number,5,0.80581594
rep-number,6,0.8533641
rep-number,7,0.9963082
rep-number,8,1.0815586
rep-number,9,1.1384491
rep-number,10,1.1984565
rep-number,11,1.239441
rep-number,12,1.2599124
rep-number,13,1.2774289
rep-number,14,1.3230646
rep-number,15,1.3712002
rep-number,16,1.4689668
rep-number,17,1.5802513
rep-number,18,1.6773504
rep-number,19,1.7662058
rep-number,20,1.8719245
rep-number,21,1.9836961
rep-number,22,2.0860205
rep-number,23,2.138998
rep-number,24,2.2424037
rep-number,25,2.3056514
rep-number,26,2.3412523
rep-number,27,2.396188
rep-number,28,2.4286423
rep-number,29,2.4427006000000002
rep-number,30,2.4893324
outbreak-size,0,0
outbreak-size,1,0.66070735
outbreak-size,2,1.2303618
outbreak-size,3,1.3218794
outbreak-size,4,1.2437176
outbreak-size,5,1.1621208
outbreak-size,6,1.1568079
outbreak-size,7,1.2931136
outbreak-size,8,1.3715895
outbreak-size,9,1.3878264
outbreak-size,10,1.4234601
outbreak-size,11,1.4558542
outbreak-size,12,1.4748967
outbreak-size,13,1.4829931
outbreak-size,14,1.5214317
outbreak-size,15,1.5580661
outbreak-size,16,1.6469563
outbreak-size,17,1.7455248
outbreak-size,18,1.8275918
outbreak-size,19,1.9126027
outbreak-size,20,2.004962
outbreak-size,21,2.1112144
outbreak-size,22,2.2112746
outbreak-size,23,2.254887
outbreak-size,24,2.358389
outbreak-size,25,2.416452
outbreak-size,26,2.4433086
outbreak-size,27,2.4983478
outbreak-size,28,2.529291
outbreak-size,29,2.5463085
outbreak-size,30,2.5900915
growth-rate,0,0
growth-rate,1,0.8062874
growth-rate,2,1.8940465
growth-rate,3,2.5833988
growth-rate,4,3.110814
growth-rate,5,3.3479352000000002
growth-rate,6,3.3118289
growth-rate,7,3.3489428
growth-rate,8,3.4658504
growth-rate,9,3.5949414
growth-rate,10,3.7518094
growth-rate,11,3.827388
growth-rate,12,3.8343809
growth-rate,13,3.775267
growth-rate,14,3.7132852
growth-rate,15,3.6842484
growth-rate,16,3.651263
growth-rate,17,3.6560698
growth-rate,18,3.675029
growth-rate,19,3.677461
growth-rate,20,3.728224
growth-rate,21,3.7686067
growth-rate,22,3.815648
growth-rate,23,3.8393414
growth-rate,24,3.8787885
growth-rate,25,3.9355423
growth-rate,26,3.9211895
growth-rate,27,3.9391477
growth-rate,28,3.9472382
growth-rate,29,3.948547
growth-rate,30,3.9568536
α,0,0
α,1,0.4081513
α,2,0.48549584
α,3,0.4887584
α,4,0.49391553
α,5,0.49325597
α,6,0.5563436
α,7,0.7581724
α,8,0.9312464
α,9,1.0731812
α,10,1.2063825
α,11,1.3024558
α,12,1.3671849
α,13,1.4267044
α,14,1.5104289
α,15,1.5899053
α,16,1.7134792
α,17,1.8458425
α,18,1.9607422
α,19,2.0773928
α,20,2.1996555
α,21,2.3255877
α,22,2.440682
α,23,2.5046816
α,24,2.6239913
α,25,2.6965616
α,26,2.7504408
α,27,2.8045814
α,28,2.8486896
α,29,2.8691459
α,30,2.9237714
β,0,0
β,1,0.3656225
β,2,0.5526399
β,3,0.5700532
β,4,0.5623414
β,5,0.547082
β,6,0.52930665
β,7,0.5521713
β,8,0.579932
β,9,0.58831580000000006
β,10,0.58393866
β,11,0.5575307
β,12,0.5188596
β,13,0.4888817
β,14,0.49268377
β,15,0.5136732
β,16,0.58303607
β,17,0.6633158
β,18,0.734304
β,19,0.7959686
β,20,0.87669915
β,21,0.96413046
