lab,max_t,num_obs,md
beta,1.0,40,-11.759657371558989
rep-number,1.0,40,-11.5972257485829
growth-rate,1.0,40,0.18768887308530646
beta,1.5,40,-10.18128025887549
rep-number,1.5,40,-10.01511843226806
growth-rate,1.5,40,0.7249214540848415
beta,2.0,40,-8.94996486518554
rep-number,2.0,40,-8.778788132175599
growth-rate,2.0,40,1.1455761547418137
beta,2.5,40,-7.9083388831504
rep-number,2.5,40,-7.730938435449828
growth-rate,2.5,40,1.501251470051093
beta,3.0,40,-6.987940796775417
rep-number,3.0,40,-6.802774154330385
growth-rate,3.0,40,1.8144774006325775
beta,3.5,40,-6.154119848947968
rep-number,3.5,40,-5.959322448088529
growth-rate,3.5,40,2.096629363786505
beta,4.0,40,-5.387944850339972
rep-number,4.0,40,-5.181310726077343
growth-rate,4.0,40,2.353935426617041
beta,4.5,40,-4.678987925913717
rep-number,4.5,40,-4.457982968910641
growth-rate,4.5,40,2.5898445750269197
beta,5.0,40,-4.021671039202859
rep-number,5.0,40,-3.7834795048528056
growth-rate,5.0,40,2.8062567677308636
beta,5.5,40,-3.4132258734048118
rep-number,5.5,40,-3.1548453326411385
growth-rate,5.5,40,3.0042027592229985
beta,6.0,40,-2.852416066781658
rep-number,6.0,40,-2.570798239852162
growth-rate,6.0,40,3.18425287936554
beta,6.5,40,-2.3385777108584316
rep-number,6.5,40,-2.030802731913501
growth-rate,6.5,40,3.346836528972014
beta,7.0,40,-1.8709490012393895
rep-number,7.0,40,-1.5344050888234326
growth-rate,7.0,40,3.492443324150195
beta,7.5,40,-1.44828105683908
rep-number,7.5,40,-1.0808209421331858
growth-rate,7.5,40,3.621739560428275
beta,8.0,40,-1.0686762500109146
rep-number,8.0,40,-0.6687266048286338
growth-rate,8.0,40,3.735612502674193
beta,8.5,40,-0.7295666162884286
rep-number,8.5,40,-0.29617013594538477
growth-rate,8.5,40,3.8351598000552767
beta,9.0,40,-0.4278860006151627
rep-number,9.0,40,0.03931655712005311
growth-rate,9.0,40,3.9216243044041836
beta,9.5,40,-0.16028073205104187
rep-number,9.5,40,0.34055209452286705
growth-rate,9.5,40,3.9963212753633495
beta,10.0,40,0.07671527131204836
rep-number,10.0,40,0.6105620914272971
growth-rate,10.0,40,4.060575775193567
beta,10.5,40,0.28647522586147955
rep-number,10.5,40,0.8523788592206873
