lab,max_t,num_obs,md
rep-number,0,10,0
growth-rate,0,10,0
beta,0,10,0
rep-number,1,10,0.7353730506896973
growth-rate,1,10,1.4862624444961547
beta,1,10,0.514089744567871
rep-number,3,10,0.7909742584228515
growth-rate,3,10,2.9871854696273803
beta,3,10,0.5667834854125977
rep-number,5,10,0.7871176471710205
growth-rate,5,10,3.4807712268829345
beta,5,10,0.5170948104858398
rep-number,7,10,0.9555913715362548
growth-rate,7,10,3.3716811504364013
beta,7,10,0.5475956001281739
rep-number,9,10,1.1491522388458253
growth-rate,9,10,3.6120004844665528
beta,9,10,0.6481719589233399
rep-number,11,10,1.283275032043457
growth-rate,11,10,3.759435037612915
beta,11,10,0.6501658916473388
rep-number,13,10,1.3887336978912352
growth-rate,13,10,3.7264501037597655
beta,13,10,0.6336345615386962
rep-number,15,10,1.5245055713653564
growth-rate,15,10,3.6477787284851075
beta,15,10,0.6651999778747558
rep-number,17,10,1.6694072799682618
growth-rate,17,10,3.5778344097137453
beta,17,10,0.7296099891662597
rep-number,19,10,1.7989735984802246
growth-rate,19,10,3.56911203956604
beta,19,10,0.8448573169708252
rep-number,21,10,1.9170339698791503
growth-rate,21,10,3.551133506774902
beta,21,10,0.8682947368621826
rep-number,23,10,2.0071970138549804
growth-rate,23,10,3.5326039142608643
beta,23,10,0.9447202816009521
rep-number,25,10,2.0631414489746094
growth-rate,25,10,3.543957820892334
beta,25,10,1.0038107147216797
rep-number,27,10,2.112157552719116
growth-rate,27,10,3.5165028228759767
beta,27,10,1.0041358661651612
rep-number,29,10,2.1544356422424316
growth-rate,29,10,3.492721969604492
beta,29,10,1.0385854969024657
rep-number,31,10,2.178550210952759
growth-rate,31,10,3.477658313751221
beta,31,10,1.0091027221679687
rep-number,33,10,2.1810171546936035
growth-rate,33,10,3.4522975730895995
beta,33,10,1.0065979118347168
rep-number,35,10,2.174219961166382
growth-rate,35,10,3.4199244537353515
beta,35,10,1.0187236289978028
rep-number,37,10,2.1530645389556886
growth-rate,37,10,3.405920280456543
beta,37,10,0.9477118816375733
rep-number,39,10,2.1524852142333986
growth-rate,39,10,3.3735778465270996
beta,39,10,0.9837654418945313
rep-number,41,10,2.16053600692749
growth-rate,41,10,3.330071355819702
beta,41,10,0.9684972896575927
rep-number,0,40,0
growth-rate,0,40,0
beta,0,40,0
rep-number,1,40,0.7951881523132325
growth-rate,1,40,2.1422417259216306
beta,1,40,0.5758906364440918
rep-number,3,40,0.8198107872009277
growth-rate,3,40,3.641123821258545
beta,3,40,0.584969367980957
rep-number,5,40,0.8803797416687011
growth-rate,5,40,3.901241397857666
beta,5,40,0.5817190322875977
rep-number,7,40,1.1636397323608398
growth-rate,7,40,4.037124160766601
beta,7,40,0.7083351211547851
rep-number,9,40,1.280578269958496
growth-rate,9,40,4.4307033004760745
beta,9,40,0.7468432540893555
rep-number,11,40,1.3174547729492188
growth-rate,11,40,4.462909385681153
beta,11,40,0.7414733963012696
rep-number,13,40,1.4446404724121094
growth-rate,13,40,4.22768155670166
beta,13,40,0.6763523864746094
rep-number,15,40,1.6560732498168946
growth-rate,15,40,4.091377548217773
beta,15,40,0.6633698120117187
rep-number,17,40,1.899861442565918
growth-rate,17,40,4.069082633972168
beta,17,40,0.8036734161376953
rep-number,19,40,2.168946212768555
growth-rate,19,40,4.1490710296630855
beta,19,40,1.051127731323242
rep-number,21,40,2.4026270904541014
growth-rate,21,40,4.19358553314209
beta,21,40,1.1671716918945312
rep-number,23,40,2.5744288024902344
growth-rate,23,40,4.190800659179687
beta,23,40,1.3274375839233399
rep-number,25,40,2.6984299697875977
growth-rate,25,40,4.220706657409668
beta,25,40,1.4118978424072266
rep-number,27,40,2.7562387313842773
growth-rate,27,40,4.267239036560059
beta,27,40,1.4328494110107421
rep-number,29,40,2.784570457458496
growth-rate,29,40,4.229443725585938
beta,29,40,1.5660918579101561
rep-number,31,40,2.868494499206543
growth-rate,31,40,4.276194869995117
beta,31,40,1.5641769027709962
rep-number,33,40,2.846190284729004
growth-rate,33,40,4.211689956665039
beta,33,40,1.6134988708496094
rep-number,35,40,2.8699796867370604
growth-rate,35,40,4.183048488616944
beta,35,40,1.5434574661254883
rep-number,37,40,2.8610419960021973
growth-rate,37,40,4.1854099159240725
beta,37,40,1.5878079643249512
rep-number,39,40,3.0114712600708007
growth-rate,39,40,4.124193935394287
beta,39,40,1.645392177581787
rep-number,41,40,2.988120830535889
growth-rate,41,40,4.084455997467041
beta,41,40,1.6184891967773438
